TrackName,TrackType,SessionFlag,CarName,RacePosition,Lap Nbr,PaceMode,OnPitRoad,LapDistPrct %,SessionTime,IsOnTrack,PreviousLap,LapBestLap,LapCompleted,CurrentLapTime,LapBestLapTime,LapDeltaToBestLap,LapDeltaToBestLap_DD,Throttle %,Brake %,Clutch %,Speed (MPH),currentGear,RPM,SteeringWheelAngle (deg),FuelLevelPct,LFtempCL (F),LFtempCR (F),LFtempCM (F),LRtempCL (F),LRtempCR (F),LRtempCM (F),RFtempCL (F),RFtempCR (F),RFtempCM (F),RRtempCL (F),RRtempCR (F),RRtempCM (F),LFwearL %,LFwearM %,LFwearR %,LRwearL %,LRwearM %,LRwearR %,RFwearL %,RFwearM %,RFwearR %,RRwearL %,RRwearM %,RRwearR %,TrackTemp (F),OilTemp (F),WaterTemp (F),AirDensity (lbs/ft^3),AirPressure (bar),AirTemp (F),WindDir (deg),WindVel (MPH),LatAccel (m/s),LongAccel (m/s),VertAccel (m/s),Roll (deg),RollRate (deg/s),Yaw (deg),YawRate (deg/s),Pitch (deg),PitchRate (deg/s),gForces
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,9,09:36.000216,True,24.472,2,2,00:47.000229,24.472,00:00.000000,0.0,0,100,100,0.0,1,1742,3,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,171,170,0.07,1.01,78,0,0.0,-0.02607477185193916,0.003966815564610543,0.9997488404875744,1,0,-1,-1,0,0,0.10205068183988207
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,9,09:36.000366,True,24.472,2,2,00:47.000379,24.472,00:00.000000,0.0,0,100,100,0.0,1,1742,3,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,171,170,0.07,1.01,78,0,0.0,-0.02608373685228229,0.0029426875023909906,0.999833417108907,1,-1,-1,0,0,-1,0.10205897199224988
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,9,09:36.000499,True,24.472,2,2,00:47.000512,24.472,00:00.000000,0.0,0,100,100,0.01,1,1742,3,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,171,170,0.07,1.01,78,0,0.0,-0.025956525593601114,0.003911333802278617,0.9992651983138617,1,0,-1,-1,0,0,0.10200101143600278
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,9,09:36.000649,True,24.472,2,2,00:47.000662,24.472,00:00.000000,0.0,0,100,100,0.0,1,1742,3,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,171,170,0.07,1.01,78,0,0.0,-0.026005725248144304,0.0032030668766612792,0.9991261815684529,1,-1,-1,0,0,0,0.10198670422765731
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,9,09:36.000833,True,24.472,2,2,00:47.000846,24.472,00:00.000000,0.0,0,100,100,0.01,1,1742,3,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,171,170,0.07,1.01,78,0,0.0,-0.026319822283209157,0.0036116408432903153,0.9991134464679994,1,-1,-1,0,0,0,0.10198638629474166
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,9,09:36.000999,True,24.472,2,2,00:48.000012,24.472,00:00.000000,0.0,51,100,100,0.0,1,3603,3,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,171,171,0.07,1.01,78,0,0.0,-0.02233689835069133,0.004554217895844174,0.9976797269146498,1,-1,-1,0,0,-1,0.10183062614215097
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,9,09:37.000149,True,24.472,2,2,00:48.000162,24.472,00:00.000000,0.0,0,100,100,0.0,1,3918,2,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,171,171,0.07,1.01,78,0,0.0,-0.02680683050923634,0.008552061217275963,1.0061037528283976,1,0,-1,-1,0,0,0.10270379043159546
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,9,09:37.000283,True,24.472,2,2,00:48.000296,24.472,00:00.000000,0.0,16,100,100,0.0,1,4486,3,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,172,171,0.07,1.01,78,0,0.0,-0.022110370321011322,0.002211983582416927,0.9995942694210009,1,-1,-1,-1,0,-1,0.10202461426506393
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,9,09:37.000433,True,24.472,2,2,00:48.000446,24.472,00:00.000000,0.0,0,100,100,0.0,1,4082,3,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,172,171,0.07,1.01,78,0,0.0,-0.028336433946296466,0.004204956550724523,1.0114690214851216,1,0,-1,-1,0,0,0.10325251073085173
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,9,09:37.000583,True,24.472,2,2,00:48.000596,24.472,00:00.000000,0.0,0,100,100,0.0,1,3703,3,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,172,171,0.07,1.01,78,0,0.0,-0.025603761488266066,0.0023947214132419782,0.9977267787361728,1,-1,-1,-1,0,-1,0.10184266537780862
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,9,09:37.000716,True,24.472,2,2,00:48.000729,24.472,00:00.000000,0.0,40,100,100,0.0,1,4588,3,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,172,171,0.07,1.01,78,0,0.0,-0.02569799576330622,0.002296264003297726,1.0026086968627057,1,0,-1,-1,0,-1,0.10234087814676837
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,9,09:37.000866,True,24.472,2,2,00:48.000879,24.472,00:00.000000,0.0,34,100,100,0.0,1,5912,3,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,172,171,0.07,1.01,78,0,0.0,-0.02551665728974415,0.0035786012018613977,1.0030060125539548,1,-1,-1,0,0,0,0.10238131797936109
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,9,09:37.000999,True,24.472,2,2,00:49.000012,24.472,00:00.000000,0.0,34,21,85,0.01,1,6871,3,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,172,171,0.07,1.01,78,0,0.0,-0.03280556408515642,-0.001489102961941718,0.997025959353199,1,0,-1,0,0,-1,0.10179251351065756
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,9,09:38.000133,True,24.472,2,2,00:49.000146,24.472,00:00.000000,0.0,34,0,69,0.25,1,7346,3,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,172,171,0.07,1.01,78,0,0.0,-0.010130286338253974,0.09580623362285524,1.00882352309854,1,-1,-1,-1,0,-1,0.1034095124154911
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,9,09:38.000266,True,24.472,2,2,00:49.000279,24.472,00:00.000000,0.0,36,0,57,0.9,1,7265,3,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,173,171,0.07,1.01,78,0,0.0,-0.03482346991637188,0.2956448223491206,1.0019732056286235,1,0,-1,0,0,-1,0.10665920184278568
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,9,09:38.000416,True,24.472,2,2,00:49.000429,24.472,00:00.000000,0.0,37,0,54,1.81,1,6958,3,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,173,172,0.07,1.01,78,0,0.0,-0.033744413189202634,0.3225314629308796,0.9934543955702786,1,-1,-1,0,0,-1,0.10663713817731463
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,9,09:38.000549,True,24.472,2,2,00:49.000562,24.472,00:00.000000,0.0,37,0,48,3.07,1,6472,4,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,173,172,0.07,1.01,78,0,0.0,-0.031525394846053906,0.42631798684900807,0.9932832008229604,1,-1,-1,0,0,-1,0.11034346785493834
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,10,09:38.000683,True,24.472,2,2,00:49.000696,24.472,00:00.000000,0.0,38,0,45,4.38,1,5898,6,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,173,172,0.07,1.01,78,0,0.0,-0.03447857411021972,0.48153932670569927,0.9885073437238687,1,-1,-1,0,0,-1,0.11225490047421333
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,10,09:38.000816,True,24.472,2,2,00:49.000829,24.472,00:00.000000,0.0,39,0,44,5.8,1,5334,7,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,174,172,0.07,1.01,78,0,0.0,-0.03550524436977903,0.5124148972537539,0.9852032170504725,1,-1,-1,0,0,-1,0.11337350174295005
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,10,09:38.000949,True,24.472,2,2,00:49.000962,24.472,00:00.000000,0.0,40,0,44,7.26,1,4787,7,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,174,172,0.07,1.01,78,0,0.0,-0.03329455609472277,0.5156021234821471,0.9838342423589708,1,-1,-1,0,0,-1,0.11339319373439605
Dover International Speedway,,"('Practice',)",Chevrolet National Impala,2,3,Not Pacing,True,10,09:39.000083,True,24.472,2,2,00:50.000096,24.472,00:00.000000,0.0,40,0,44,8.73,1,4247,8,99,157,152,155,157,147,154,177,153,169,171,164,169,99,99,99,99,99,99,99,99,99,99,99,99,124,174,172,0.07,1.01,78,0,0.0,-0.03353171999908976,0.5197052561908687,0.9859761695978473,1,-1,-1,0,0,-1,0.11378200478275978
