TrackName,TrackType,SessionFlag,CarName,RacePosition,Lap Nbr,PaceMode,OnPitRoad,LapDistPrct %,SessionTime,IsOnTrack,PreviousLap,LapBestLap,LapCompleted,CurrentLapTime,LapBestLapTime,LapDeltaToBestLap,LapDeltaToBestLap_DD,Throttle %,Brake %,Clutch %,Speed (MPH),currentGear,RPM,SteeringWheelAngle (deg),FuelLevelPct,LFtempCL (F),LFtempCR (F),LFtempCM (F),LRtempCL (F),LRtempCR (F),LRtempCM (F),RFtempCL (F),RFtempCR (F),RFtempCM (F),RRtempCL (F),RRtempCR (F),RRtempCM (F),LFwearL %,LFwearM %,LFwearR %,LRwearL %,LRwearM %,LRwearR %,RFwearL %,RFwearM %,RFwearR %,RRwearL %,RRwearM %,RRwearR %,TrackTemp (F),OilTemp (F),WaterTemp (F),AirDensity (lbs/ft^3),AirPressure (bar),AirTemp (F),WindDir (deg),WindVel (MPH),LatAccel (m/s),LongAccel (m/s),VertAccel (m/s),Roll (deg),RollRate (deg/s),Yaw (deg),YawRate (deg/s),Pitch (deg),PitchRate (deg/s),gForces
Watkins Glen,Boot,"('Practice',)",Mercedes W12,2,4,Not Pacing,True,3,27:48.000516,True,81.521,3,3,02:56.000617,81.521,00:00.000000,0.0,0,100,100,0,N,4000,-1,56,202,209,201,198,209,201,192,179,184,204,185,196,98,98,98,99,99,99,98,98,99,98,98,99,65,168,164,0.07,1.0,65,-316,15,-0.02173121703388008,-0.03821747443970069,0.998602389803234,1,-1,-176,-1,-3,0,0.10199690657630502
Watkins Glen,Boot,"('Practice',)",Mercedes W12,2,4,Not Pacing,True,3,27:48.000650,True,81.521,3,3,02:56.000750,81.521,00:00.000000,0.0,0,100,100,0,N,4000,-1,56,202,209,201,198,209,201,192,179,184,204,185,196,98,98,98,99,99,99,98,98,99,98,98,99,65,168,163,0.07,1.0,65,-316,15,-0.020848881457073122,-0.037371604935960055,0.9988586472444213,1,-1,-176,0,-3,0,0.10201784996080498
Watkins Glen,Boot,"('Practice',)",Mercedes W12,2,4,Not Pacing,True,3,27:48.000800,True,81.521,3,3,02:56.000900,81.521,00:00.000000,0.0,0,100,100,0,N,4000,1,56,202,209,201,198,209,201,192,179,184,204,185,196,98,98,98,99,99,99,98,98,99,98,98,99,65,168,163,0.07,1.0,65,-316,15,-0.02073947108606072,-0.03707623688331316,0.9988202475140461,1,0,-176,0,-3,-1,0.1020125807795337
Watkins Glen,Boot,"('Practice',)",Mercedes W12,2,4,Not Pacing,True,3,27:48.000933,True,81.521,3,3,02:57.000034,81.521,00:00.000000,0.0,0,100,100,0,N,4000,0,56,202,209,201,198,209,201,192,179,184,204,185,196,98,98,98,99,99,99,98,98,99,98,98,99,65,168,163,0.07,1.0,65,-316,15,-0.020595528299290834,-0.03712542134808959,0.99845355439259,1,-1,-176,0,-3,0,0.10197507948748319
Watkins Glen,Boot,"('Practice',)",Mercedes W12,2,4,Not Pacing,True,3,27:49.000066,True,81.521,3,3,02:57.000167,81.521,00:00.000000,0.0,0,100,100,0,N,4000,0,56,202,209,201,198,209,201,192,179,184,204,185,196,98,98,98,99,99,99,98,98,99,98,98,99,65,168,163,0.07,1.0,65,-316,15,-0.02064593250233828,-0.037876813540521866,0.998441694222702,1,0,-176,0,-3,0,0.10197685364152644
Watkins Glen,Boot,"('Practice',)",Mercedes W12,2,4,Not Pacing,True,3,27:49.000200,True,81.521,3,3,02:57.000300,81.521,00:00.000000,0.0,0,100,100,0,N,4000,0,56,202,209,201,198,209,201,192,179,184,204,185,196,98,98,98,99,99,99,98,98,99,98,98,99,65,168,163,0.07,1.0,65,-316,15,-0.02016269741437486,-0.0376322977890419,0.9985032310058095,1,-1,-176,-1,-3,0,0.10198117780318085
Watkins Glen,Boot,"('Practice',)",Mercedes W12,2,4,Not Pacing,True,3,27:49.000333,True,81.521,3,3,02:57.000434,81.521,00:00.000000,0.0,0,100,100,0,N,4000,0,56,202,209,201,198,209,201,192,179,184,204,185,196,98,98,98,99,99,99,98,98,99,98,98,99,65,168,163,0.07,1.0,65,-316,15,-0.020030961124175184,-0.03568835093219224,0.998798277035401,1,0,-176,-1,-3,-1,0.10200371243809059
Watkins Glen,Boot,"('Practice',)",Mercedes W12,2,4,Not Pacing,True,3,27:49.000466,True,81.521,3,3,02:57.000567,81.521,00:00.000000,0.0,0,100,100,0,1,4000,-1,56,202,209,201,198,209,201,192,179,184,204,185,196,98,98,98,99,99,99,98,98,99,98,98,99,65,168,163,0.07,1.0,65,-316,15,-0.02028052443515027,-0.03707025515316215,0.9988613692506251,1,-1,-176,-1,-3,-1,0.10201578971004277
Watkins Glen,Boot,"('Practice',)",Mercedes W12,2,4,Not Pacing,True,3,27:49.000616,True,81.521,3,3,02:57.000717,81.521,00:00.000000,0.0,0,100,100,0,1,4000,-2,56,202,209,201,198,209,201,192,179,184,204,185,196,98,98,98,99,99,99,98,98,99,98,98,99,65,168,163,0.07,1.0,65,-316,15,-0.020223606860115137,-0.03747138347586847,0.9983589646770076,1,0,-176,0,-3,0,0.10196597874067241
Watkins Glen,Boot,"('Practice',)",Mercedes W12,2,4,Not Pacing,True,3,27:49.000750,True,81.521,3,3,02:57.000850,81.521,00:00.000000,0.0,0,100,100,0,1,4000,-2,56,202,209,201,198,209,201,192,179,184,204,185,196,98,98,98,99,99,99,98,98,99,98,98,99,65,168,163,0.07,1.0,65,-316,15,-0.020559045517481063,-0.036514330955334275,0.9985485329662015,1,0,-176,-1,-3,0,0.10198238854820406
Watkins Glen,Boot,"('Practice',)",Mercedes W12,2,4,Not Pacing,True,3,27:49.000883,True,81.521,3,3,02:57.000984,81.521,00:00.000000,0.0,6,100,100,0,1,4583,-3,56,202,209,201,198,209,201,192,179,184,204,185,196,98,98,98,99,99,99,98,98,99,98,98,99,65,168,163,0.07,1.0,65,-316,15,-0.019856044884000227,-0.03705412665881391,0.99872400515184,1,-1,-176,0,-3,-1,0.10200085489385678
